OPCIÓN B,ADAM GRANT, - 9788416883158  
CUENTA CONTIGO,PATRICIA RAMIREZ, - 9788416029907  
LA CABAÑA,PAUL YOUNG, - 9786070719646  
SÚPER SAPIENS,PEDRO VIVAR, - 9788418820373  
ENTRAMADOS DE CONCIENCIA,PEGGY PHOENIX DUBRO, - 9788493950811  
CUANDO TODO SE DERRUMBA,PEMA CHODRON, - 9788411080194  
CUANDO TODO SE DERRUMBA (E-BOOK),PEMA CHODRON, - 9788484453789  
APRENDER DE LOS CAMPEONES,PEP MARI, - 9788415577249  
THE TOOLS,PHIL STUTZ, - 9781446491096  
EL ARTE DE NO AMARGARSE LA VIDA (EDICIÓN ESPECIAL),RAFAEL SANTANDREU, - 9788425360497  
LAS GAFAS DE LA FELICIDAD (EDICIÓN 5º ANIVERSARIO),RAFAEL SANTANDREU, - 9788425358241  
NADA ES TAN TERRIBLE,RAFAEL SANTANDREU, - 9788425356513  
SENSE POR,RAFAEL SANTANDREU, - 9788418062117  
NADA ES TAN TERRIBLE (EDICIÓN ESPECIAL),RAFAEL SANTANDREU, - 9788425360657  
SIN MIEDO (EDICIÓN ESPECIAL ILUSTRADA),RAFAEL SANTANDREU, - 9788425363221  
LAS GAFAS DE LA FELICIDAD,RAFAEL SANTANDREU, - 9788425352256  
"NO SON PERFECTAS, SON FELICES",RAIMON GAJA, - 9788499890579  
QUIÉRETE MUCHO,RAIMON GAJA JAUMEANDREU, - 9788499897714  
LA CIENCIA DEL AMOR,RAMIRO A. CALLE, - 9788417248895  
LA LLAVE DE LA PAZ INTERIOR,RAMIRO CALLE, - 9788427036956  
SÍ PUEDES,RAMIRO CALLE, - 9788496642997  
"EL SECRETO DEL AMOR, LA SALUD Y EL DINERO",RHONDA BYRNE, - 9788419251930  
AYUDAR A LA GENTE A CAMBIAR,RICHARD BOYATZIS, - 9788429195651  
NO TE AHOGUES EN UN VASO DE AGUA,RICHARD CARLSON, - 9788466342506  
VIOLENCIA,RICHARD J. BERNSTEIN, - 9788497848138  
INFLUENCIA. LA PSICOLOGÍA DE LA PERSUASIÓN,ROBERT B. CIALDINI, - 9788491397380  
EL PLAN DE TU ALMA,ROBERT SCHWARTZ, - 9788417030025  
TU MEJOR VERSIÓN,ROBERTO SANCHEZ, - 9788418620898  
LAS MUJERES QUE AMAN DEMASIADO,ROBIN NORWOOD, - 9788415389316  
EL MONJE QUE VENDIÓ SU FERRARI,ROBIN SHARMA, - 9788425345388  
TRIUNFO,ROBIN SHARMA, - 9788499897929  
DESCUBRE TU DESTINO CON EL MONJE QUE VENDIÓ SU FERRARI,ROBIN SHARMA, - 9788425345326  
EL MÉTODO BULLET JOURNAL,RYDER CARROLL, - 9788408196853  
KARMA (E-BOOK),SADHGURU, - 9788484459873  
QUERIDA MÍA,SANDRA FERRER, - 9788403523197  
TU COACH DE LA CONFIANZA,SARAH JANE ARNOLD, - 9786077479215  
AMORES QUE VIENEN DE VIDAS PASADAS,SARITA SAMMARTINO, - 9788417312589  
IKIGAI,SELENE CALLONI WILLIAMS, - 9788491117063  
UNA PSICOLOGÍA REAL,SERGI RUFI, - 9788448027544  
LA BIOLOGÍA DEL PRESENTE,SERGI TORRES, - 9788418118081  
¿ME ACOMPAÑAS?,SERGI TORRES, - 9788416715954  
DEJA DE PREOCUPARTE,SHUNMYO MASUNO, - 9788419251688  
TODO UN VIAJE,SILVIA ABASCAL, - 9788499983103  
¿POR QUÉ NO SOY FELIZ? VIVE Y DISFRUTA SIN COMPLICARTE LA VIDA,SILVIA ALAVA, - 9788491397373  
"SI DUELE, NO ES AMOR",SILVIA CONGOST, - 9788408167129  
A SOLAS,SILVIA CONGOST, - 9788408217497  
CUANDO AMAR DEMASIADO ES DEPENDER,SILVIA CONGOST, - 9788408138518  
DEJA DE ROMPER...¡LOS ESPEJOS!,SILVIA FREIRE, - 9789507881992  
CONECTADOS PARA EL AMOR,STAN TATKIN, - 9786073127950  
EL LABORATORIO DEL ALMA,STELLA MARIS MARUSO, - 9789875808843  
